rating,director,release_year,listed_in,title,country,duration,type,Cluster
4,2294,0.9411764705882354,273,1972,80,210,0,2
8,2104,1.0,241,2644,20,0,1,1
8,2865,1.0,498,4558,80,0,1,1
9,627,1.0,124,1657,6,211,0,2
8,1503,0.0,318,6043,80,32,0,0
6,298,1.0,114,7196,79,208,1,3
4,4157,1.0,196,7747,80,7,0,0
11,4046,0.8823529411764707,130,4754,29,205,0,2
8,791,1.0,325,3520,22,34,0,0
11,4046,0.5294117647058825,147,4752,29,192,0,2
11,4046,0.5882352941176472,124,4756,29,192,0,2
11,4046,0.5294117647058825,124,4758,29,187,0,2
6,3066,1.0,327,141,52,40,0,0
6,2315,1.0,441,1221,80,150,0,2
8,2315,1.0,441,1082,80,147,0,2
8,2315,1.0,441,1609,80,145,0,2
6,2315,1.0,184,6984,80,146,0,2
8,3066,1.0,296,3497,52,0,1,1
8,3066,1.0,96,1726,52,0,1,1
10,2652,0.8823529411764707,120,8165,80,158,0,2
10,2652,0.823529411764706,421,8161,80,0,1,1
10,2652,0.823529411764706,421,8166,80,0,1,1
10,2652,0.823529411764706,421,1792,80,0,1,1
3,3542,1.0,120,4862,51,211,0,2
8,2300,1.0,241,791,51,0,1,1
8,3230,0.9411764705882354,280,2285,51,182,0,2
10,317,0.823529411764706,120,6032,51,180,0,2
6,3105,1.0,234,4704,80,0,1,1
10,169,1.0,120,2747,80,176,0,2
6,3653,0.0,219,3522,29,79,0,0
4,1057,0.3529411764705883,184,2851,80,6,0,0
4,3791,0.5294117647058825,356,1828,80,217,0,2
4,3549,0.5294117647058825,512,5359,80,9,0,0
8,3066,1.0,397,3493,52,0,1,1
8,3066,1.0,486,1484,52,0,1,1
8,3066,1.0,415,6496,52,0,1,1
11,3066,0.9411764705882354,421,6744,52,0,1,1
9,3066,1.0,445,7890,52,110,1,3
8,3066,1.0,445,4534,52,0,1,1
11,3066,1.0,86,5496,52,0,1,1
10,3066,0.8823529411764707,422,8004,52,110,1,3
11,3066,0.7647058823529412,421,4572,52,151,1,3
11,3066,0.8823529411764707,421,8020,52,110,1,3
6,3066,0.8823529411764707,392,3167,52,0,1,1
8,3066,1.0,403,1195,52,0,1,1
9,3066,1.0,445,3188,52,0,1,1
8,3066,0.8823529411764707,240,5169,52,0,1,1
10,3066,0.9411764705882354,432,1201,52,110,1,3
6,3066,1.0,290,8188,52,0,1,1
6,3066,1.0,392,3129,52,0,1,1
7,3066,1.0,408,7281,52,0,1,1
9,3397,0.0,218,4605,29,57,0,0
6,53,1.0,512,3410,51,214,0,2
9,2149,0.0,216,689,51,74,0,0
6,405,1.0,318,583,51,16,0,0
8,927,1.0,331,7118,51,15,0,0
8,869,1.0,39,7756,51,8,0,0
4,1413,0.7647058823529412,36,1029,12,216,0,2
8,637,0.9411764705882354,392,7718,67,0,1,1
7,497,1.0,120,8703,80,9,0,0
3,4020,0.0,17,3515,80,31,0,0
3,1815,0.0,316,3516,80,21,0,0
3,1907,0.0,48,3517,80,218,0,2
4,2058,0.0,48,3518,80,211,0,2
5,907,0.47058823529411775,0,6000,67,20,0,0
5,348,0.0,343,8087,80,29,0,0
9,3066,1.0,287,2027,52,169,0,2
8,3066,0.0,399,1872,52,0,1,1
6,4258,0.0,5,3413,36,219,0,2
6,4258,0.0,5,3414,36,219,0,2
9,4258,0.0,5,3415,36,206,0,2
9,4258,0.0,5,3416,36,3,0,0
11,3066,1.0,432,3271,52,0,1,1
9,3066,1.0,445,4942,80,174,1,3
6,3066,1.0,290,1375,52,0,1,1
9,3066,1.0,291,5665,52,138,1,3
6,3066,1.0,454,8005,52,0,1,1
6,3066,1.0,384,4740,52,0,1,1
8,3066,1.0,413,5238,52,0,1,1
8,3066,1.0,409,5523,52,0,1,1
3,4285,1.0,273,4848,51,126,0,2
6,2684,0.411764705882353,5,4964,36,5,0,0
9,1505,0.23529411764705882,5,4967,36,213,0,2
9,2684,0.29411764705882354,5,4968,36,216,0,2
9,1505,0.17647058823529416,5,4965,36,215,0,2
6,2684,0.3529411764705883,5,4966,36,203,0,2
9,1592,0.05882352941176472,5,4969,36,217,0,2
9,4260,0.11764705882352944,5,4970,36,215,0,2
9,4142,0.0,5,4971,36,201,0,2
8,3066,1.0,408,1646,52,0,1,1
8,3066,1.0,398,2301,52,0,1,1
9,3066,1.0,291,3848,52,0,1,1
8,3066,1.0,487,6966,52,0,1,1
8,3066,0.9411764705882354,243,7054,52,0,1,1
9,3066,1.0,445,1343,52,138,1,3
